ValenceBand,ConductionBand,CrystalDirection,mvb,mcb,mcb_indirect,Bandgap,IndirectBandgap,ElectronAffinity,ValenceBandShape,CollisionTime,epsilonStatic,epsilonInf,NumBonds,LatticeConstant,Density,DeformationPotential,SpeedofSound,PhononFrequency,Tphonon,SellmeierForm,A,B1,C1,B2,C2,MinWavelength,MaxWavelength,Wavelength,n,kappa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,344.4,5.296,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,346.3,5.336,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,348.3,5.383,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,350.2,5.442,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,352.2,5.515,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.2,5.61,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,356.3,5.733,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,358.3,5.894,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.4,6.089,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.5,6.308,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,364.7,6.522,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,366.8,6.695,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,369,6.796,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,371.2,6.829,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,373.4,6.799,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.7,6.709,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,378,6.585,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,380.3,6.452,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,382.7,6.316,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,385,6.185,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,387.5,6.062,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,389.9,5.948,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,392.4,5.842,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,394.9,5.744,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.4,5.654,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,5.57,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,402.5,5.493,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,405.2,5.42,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,407.8,5.349,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,410.5,5.284,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,413.3,5.222,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,416.1,5.164,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,418.9,5.109,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,421.7,5.058,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,424.6,5.009,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,427.5,4.961,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,430.5,4.916,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,433.5,4.872,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,436.6,4.831,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,439.7,4.791,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,442.8,4.753,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,446,4.718,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,449.2,4.682,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,452.5,4.648,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,455.8,4.615,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,459.2,4.583,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,462.6,4.553,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,466.1,4.522,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,469.6,4.495,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,473.2,4.466,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,476.9,4.442,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,480.6,4.416,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,484.3,4.391,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,488.1,4.367,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,492,4.343,0
